device: cuda:0
AX-MADDPG
=============================
=1 Env resilient path planning is right ...
=============================
=2 The 24 agents are inited ...
=============================
=3 starting iterations ...
=============================
=4 init tensorboards ...
=================================
[2025-07-03 15:45:26.267] =============> episode_gone: 2, rew_n: 1043.0477075576782, rew_n_avg_queue_delta: 0.3322877287864685, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:45:26.743] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.7415831089019775, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:45:33.202] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.46457043290138245, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:45:41.503] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.43076643347740173, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:45:49.318] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.350623220205307, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:45:55.450] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.43815645575523376, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.6276041847618217e-08
[2025-07-03 15:46:01.656] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.333048015832901, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:46:11.547] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.46031078696250916, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 3.662109193669494e-08
[2025-07-03 15:46:12.836] =============> episode_gone: 3, rew_n: 1050.9285678863525, rew_n_avg_queue_delta: 0.3743068277835846, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:46:18.004] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.4806031286716461, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.034505008907672e-08
[2025-07-03 15:46:25.165] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.36565372347831726, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 1.2207030941624453e-08
[2025-07-03 15:46:33.608] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.45079508423805237, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.4414061883248905e-08
[2025-07-03 15:46:41.480] episode_gone: 3, rew_n: 0.0, rew_n_avg_queue_delta: 0.3691016137599945, rew_n_avg_satisfaction: 0.0, rew_n_power_penalty: 2.848307190106425e-08
